mid,helvol,geomvol
mp-26005,0.060,190.349
mp-780203,0.000,102.119
mp-554940,0.000,77.833
mp-776595,0.000,48.299
mp-756645,0.000,32.989
mp-690004,0.012,56.131
mp-758668,0.002,82.216
mp-849340,0.000,30.136
mp-754052,0.051,84.523
mp-26950,0.023,143.176
mp-770696,5.845,100.733
mp-759204,10.146,198.551
mp-754720,4.675,28.499
mp-780217,0.000,33.846
mp-775936,0.000,37.660
mp-758898,0.000,120.436
mp-758640,0.791,101.222
mp-684059,3.550,177.467
mp-26978,0.000,51.066
mp-755402,0.000,23.385
mp-753073,0.000,70.575
mp-571518,0.062,92.766
mp-26549,1.149,341.484
mp-763359,0.165,16.128
mp-777338,0.000,140.793
mp-32528,0.023,139.225
mp-780798,0.001,26.358
mp-26575,0.000,15.181
mp-773176,0.000,46.459
mp-763371,0.013,85.287
mp-504346,0.001,106.069
mp-6838,1.687,247.769
mp-540262,0.149,61.604
mp-689964,0.027,110.850
mp-26561,0.036,250.880
mp-757759,0.037,59.714
mp-756447,0.000,62.519
mp-754522,0.000,35.693
mp-1170,0.707,31.252
mp-771952,0.000,26.327
mp-757995,2.417,182.579
mp-754244,0.008,53.319
mp-759990,0.003,128.136
mp-768595,0.000,42.724
mp-753503,1.833,78.347
mp-31960,0.000,51.123
mp-759984,0.000,34.219
mp-768581,14.667,160.116
mp-753488,0.000,30.582
