mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-1041256,-160.57598967,-4.4604441575000005,386.38386440716397,-0.43259419500000007,36,0.0,4.677149930819804,0.34571063333333335,4.677149930819804
mp-540321,-137.9978392,-6.89989196,265.9968129653008,-2.2819834603035702,20,0.0,2.8690004115797043,3.99978815,2.8690004115797043
mvc-3453,-107.23414557,-4.46808939875,412.082625337426,-2.596337408075,24,3.7361999999999997,3.4937186130765565,2.5e-08,3.4937186130765565
mp-1142713,-135.73869125,-7.541038402777777,203.29359992854876,-2.682309558162222,18,0.8004000000000002,3.3833497654618245,2.9999997,3.3833497654618245
mp-1046421,-175.47185718,-7.3113273825,337.90611427405037,-2.8299871595238097,24,1.7375,3.228672496375697,1.0005523,3.228672496375697
mvc-5627,-162.23900917,-4.506639143611111,380.5603049453897,-0.4787891811111109,36,0.0,4.748722452650926,0.33331360833333334,4.748722452650926
mvc-13125,-119.1167967,-6.617599816666666,201.8788909706859,-2.1879070897222213,18,0.0,3.4688380614937584,0.00338465,3.4688380614937584
mvc-5171,-316.87993441,-8.802220400277777,464.1833568252693,-3.3476860033333335,36,1.7347,3.428479980873257,0.0,3.428479980873257
mp-1040910,-274.02475644,-7.611798789999999,445.8859602420341,-2.3214316441666654,36,0.9116000000000002,3.706569439357605,1.0001905,3.706569439357605
mvc-13181,-287.78932782,-5.99561099625,576.6465610405961,-1.2645087604166665,48,0.0,4.047347381972725,4.00096360625,4.047347381972725
mvc-14047,-19.05689597,-6.352298656666666,71.4197318505146,-0.989603212708334,3,0.0,2.768382518612777,2.9947962,2.768382518612777
mvc-12012,-126.00606439,-7.000336910555556,204.25684332226643,-2.3907641513888884,18,0.20620000000000016,3.43235285205757,2.9874666,3.43235285205757
mp-1043195,-123.14423827,-6.841346570555555,238.59734953698558,-2.169174845833333,18,1.6478000000000002,4.067431864423102,1.00965665,4.067431864423102
mp-25476,-34.14802486,-5.691337476666667,66.42255688940827,-1.1238474174999997,3,1.2174,4.5465316228036565,0.4974906,4.5465316228036565
mvc-6353,-330.54813378,-6.88641945375,562.2490182369868,-1.5714611382366666,48,0.0,4.108130609873805,3.0000000875,4.108130609873805
mvc-11423,-105.9138846,-8.82615705,144.73735427969672,-3.3716226530555566,12,2.6333,3.665129282508531,2.5e-08,3.665129282508531
mp-1044267,-259.00498151,-7.617793573823529,460.20748897913205,-2.7748529254761904,34,1.3491,2.769126317332269,6.45e-06,2.769126317332269
mp-1046983,-173.15916141,-7.870870973181818,304.7778926396533,-2.2603359231818185,22,0.665,3.9860628824459035,9.55e-06,3.9860628824459035
mp-775220,-246.41556638,-6.844876843888889,459.22600064434425,-2.1727051191666664,36,1.5087,4.226583254919993,0.999246025,4.226583254919993
mp-1142841,-456.88996501,-7.614832750166667,917.779088548986,-2.8376628163333333,60,0.014999999999999958,2.347258161336667,2.00000025,2.347258161336667
mvc-13536,-49.3195746,-4.9319574600000005,155.2332598838017,-2.2707765809520004,10,1.5511,2.7382265241595296,2.0,2.7382265241595296
mvc-5485,-260.3766138,-7.232683716666666,439.83263839865646,-1.8692904841666658,36,0.0,3.805360451249004,2.000000025,3.805360451249004
mvc-12170,-201.95034794,-5.609731887222222,388.3805059656208,-1.0422418280555559,36,0.14439999999999997,4.6654080324809355,1.6666629000000002,4.6654080324809355
mp-540262,-133.30944614,-6.665472307,261.82648095687847,-2.096647460303571,20,0.0,2.9538689126138418,5.024427,2.9538689126138418
mvc-12312,-353.30814549,-6.794387413269231,683.3456393614558,-2.1835851352335163,52,0.0,3.067425550377045,2.601570275,3.067425550377045
mp-540363,-146.60702902,-7.330351451,251.86485408994042,-2.5446634783035704,20,1.1998999999999997,2.9653206764781705,0.99991055,2.9653206764781705
mvc-11637,-260.68417843,-6.86010995868421,501.0909054316037,-2.205269506193608,38,0.049199999999999994,3.1047340544402258,15.00000075,3.1047340544402258
mp-1040982,-378.05848679,-7.270355515192308,679.110864632378,-2.3344987702335165,52,0.020399999999999974,3.031363929756052,3.996581125,3.031363929756052
mp-1047920,-278.36722577,-7.325453309736842,549.7406989499061,-2.417268827246241,38,0.2740999999999998,3.556640210650935,7.00040925,3.556640210650935
mvc-14215,-56.83348159,-4.736123465833333,184.00338522483537,-2.281714377658332,12,1.1817000000000002,2.652989288602551,1.0,2.652989288602551
mp-1118309,-105.50131054,-8.791775878333334,149.4818557802085,-3.33724148138889,12,2.439,3.5487993688232224,0.0,3.5487993688232224
mp-1042373,-293.34157256,-5.238242367142857,823.7639883899514,-1.1007167294642852,56,0.0,8.030245350138674,1.25e-07,8.030245350138674
mp-1046509,-328.4398819,-6.316151575,647.1116220284762,-1.5847083645115385,52,0.1575000000000002,4.852348322250233,17.0163456,4.852348322250233
mp-1047927,-286.06320088,-7.527978970526316,498.59773633764655,-2.6082235606672937,38,0.12090000000000001,3.0222746104637066,3.37113505,3.0222746104637066
mvc-5310,-366.47951388,-7.6349898725,587.8669975802796,-2.344622726666666,48,0.7595999999999998,3.748483427882962,1.000000025,3.748483427882962
mvc-12174,-354.46647636,-7.3847182575,609.1688557786672,-2.3903099436904753,48,0.5295999999999998,3.2049597538766728,2.99999995,3.2049597538766728
mp-1043495,-363.51230142,-6.990621181153846,711.0726036279848,-2.341934152861722,52,0.0,2.919097929257441,2.922283325,2.919097929257441
mp-1040954,-370.63985993,-7.127689614038461,659.228843922675,-2.2141874461504396,52,0.012700000000000045,3.182072378808643,5.987663825,3.182072378808643
mvc-5774,-55.20901025,-6.90112628125,109.73899652308906,-1.6971565946874998,8,0.9157,5.021194274132671,0.0,5.021194274132671
mp-32394,-269.88812549,-6.425907749761905,507.5416094357924,-2.0565872543367347,42,0.0,3.4285559670150176,3.9261998,3.4285559670150176
mvc-8434,-239.98317254,-6.666199237222222,475.67429633347666,-1.9696854836111102,36,0.829,4.095158719839594,2.000000075,4.095158719839594
mvc-4499,-423.36841535,-6.226006108088235,849.6750641212667,-1.525153086911764,68,0.8313999999999999,4.017344283176032,6.9025e-05,4.017344283176032
mp-1041062,-350.66564337,-6.743570064807693,709.6466383341048,-2.0995399336950546,52,0.0,2.9729756403738477,8.853998425,2.9729756403738477
mp-677217,-114.11753234,-7.13234577125,294.550536053812,-1.1262159857812497,16,1.2532999999999994,4.965371952314503,0.0012768,4.965371952314503
mvc-6713,-240.0077932,-5.21756072173913,669.1362351741235,-0.9908080665217394,46,0.0,3.631879436261831,9.999144,3.631879436261831
mp-25502,-137.48590309,-7.6381057272222215,210.56511896046834,-2.7632319102777765,18,0.5258999999999996,3.2201103769393837,2.00015015,3.2201103769393837
mvc-11089,-90.73763686,-7.561469738333333,144.73031946449512,-2.2711025925,12,0.0,3.8064064709840837,0.999999975,3.8064064709840837
mvc-11241,-19.89829938,-6.63276646,65.86697753153406,-1.294278902708334,3,0.0,2.901009357076987,0.5778506,2.901009357076987
mvc-11380,-542.70184793,-6.783773099125,1067.160449973941,-1.8159820019999997,80,0.5663,3.3960401608874986,1.000000025,3.3960401608874986
mvc-8359,-120.12164839,-6.673424910555556,228.25147958213734,-1.9769111569444446,18,0.6371,4.267139354364222,2.00000015,4.267139354364222
mvc-13330,-299.59444578,-7.4898611445,608.2232480483447,-2.3052069213749995,40,1.4381,2.8919936759770732,0.99965655,2.8919936759770732
mp-676910,-210.00560155,-6.774374243548387,667.8749219675069,-0.6133061086290321,31,0.0,6.184814035955318,0.000448,6.184814035955318
