mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-26629,-163.82751378,-7.446705171818182,273.551715249747,-2.8821965320183995,22,0.16570000000000018,2.7771750844763914,1.00000005,2.7771750844763914
mp-773089,-294.86982837,-7.759732325526316,559.7348602605078,-2.8784394065902252,38,0.0,3.457699403738582,0.1053765,3.457699403738582
mp-778109,-666.17753827,-7.241060198586957,1216.7176277682638,-2.72732870425854,92,0.06489999999999974,2.817260360537076,3.0025028,2.817260360537076
mp-782001,-383.18684614,-7.983059294583334,590.6814601767019,-3.1497494148263896,48,0.0,4.94029310931088,0.0047819,4.94029310931088
mp-766091,-357.96902856,-8.324861129302326,521.1490318481102,-3.446705648023257,43,0.0,5.134060764054765,0.3007029,5.134060764054765
mp-773078,-528.60677218,-7.889653316119403,835.7134025756252,-3.11669145641791,67,0.0,4.220454588799309,0.001281,4.220454588799309
mp-770287,-310.79044099,-6.474800853958333,515.0220769552158,-2.4373958765277774,48,0.07860000000000023,3.3164398809085376,0.0,3.3164398809085376
mp-773072,-317.20742095,-7.9301855237500005,583.9081414693077,-3.1919190060000004,40,0.0,6.085488596694636,0.0208089,6.085488596694636
mp-774459,-354.11109284,-6.212475312982456,992.3190781039362,-1.711098045029241,57,0.0,3.1978960693957976,4.2108373,3.1978960693957976
mp-780764,-455.02259219,-6.691508708676471,889.2023257992792,-2.3305081548424376,68,0.3498999999999999,2.7666274503214456,0.0,2.7666274503214456
mp-778623,-269.51501612,-7.092500424210526,428.4936515363441,-2.7251919138000003,38,1.1782999999999997,4.027033981448647,11.99999915,4.027033981448647
mp-764043,-187.55678465,-6.251892821666667,280.0336555283762,-1.8795799358586662,30,0.3706999999999998,4.4156222393886155,12.0000003,4.4156222393886155
mp-776170,-228.71205695,-8.168287748214286,294.28691033995716,-3.2243037308333333,28,0.0,3.761857554297421,0.9504162,3.761857554297421
mp-776672,-105.88391478,-7.56313677,162.10600346780222,-2.5679923400000004,14,0.1407999999999996,3.970478176567246,6.0000006,3.970478176567246
mp-773184,-98.65992212,-6.1662451325,173.92374890369007,-2.1400698051200004,16,0.8064,4.802926302986322,5.00000005,4.802926302986322
mp-762374,-466.19264935,-8.476229988181819,764.5691005522199,-3.095861222318182,55,0.0,4.637655043627631,2.56e-05,4.637655043627631
mp-767490,-415.2272148,-7.985138746153846,539.9717013929597,-3.199698803894231,52,0.0,3.720298666378347,2.0066362,3.720298666378347
mp-773363,-106.75536665,-6.672210415625,167.85446437108396,-2.141770692055,16,0.9558,4.990025366333897,14.9999994,4.990025366333897
mp-765697,-110.69534401,-6.918459000625,154.2663241708267,-2.625263464583334,16,0.9128999999999996,3.909342401938013,3.99999995,3.909342401938013
mp-776424,-319.48704008,-6.1439815399999995,656.4730648725398,-2.367938231887363,52,1.1706999999999996,2.9383500416763932,0.0002471,2.9383500416763932
mp-774883,-74.50030944,-5.321450674285714,260.3008357079661,-0.8199072144642859,14,0.0,4.264031115927271,4.9999901,4.264031115927271
mp-765804,-76.5446975,-5.102979833333333,148.11075553512546,-3.0890170126346663,15,3.5211000000000006,2.7420417821025285,3.0,2.7420417821025285
mp-756684,-132.45413898,-7.791419940000001,216.84955318877778,-3.0980304433823527,17,0.0,4.8076869208316095,0.0058219,4.8076869208316095
mp-764671,-118.33566441,-7.395979025625,225.7704607986493,-2.06709009526,16,0.0,3.842992419651212,35.0011208,3.842992419651212
mp-585408,-262.37488692,-6.559372173,577.3055978932265,-2.5249182640714287,40,2.8055999999999996,3.1246312159351386,0.0,3.1246312159351386
mp-540456,-200.00250734,-7.142946690714285,365.32285883572376,-2.5858898139413276,28,2.9745,2.689541163228919,4.00000025,2.689541163228919
mp-697664,-297.63897866,-7.4409744665,497.65848173538984,-2.473516795071429,40,2.0429,3.3356328112492792,15.99999975,3.3356328112492792
mp-767720,-347.69332384,-7.55855051826087,519.9909472122037,-2.7737925701630433,46,1.9010999999999996,3.4359846097879228,11.99999955,3.4359846097879228
mp-769519,-214.83056231,-5.239769812439024,406.6035899006189,-2.0544675639024392,41,1.4197,2.5529904816717797,19.0000007,2.5529904816717797
mp-704600,-282.68094715,-7.852248531944444,457.3739596151237,-2.994814869457884,36,0.0,2.988614799450363,5.9999999,2.988614799450363
